VC Name,VC Location,Snippet,Short Description,Crunchbase URL,Investment 3 Funding Round Type,Investment 3 Round Type,Investment 3 Company Invested Into,Investment 3 Announcement Date,Investment 3 Value,Investment 3 Type,Investment 2 Funding Round Type,Investment 2 Round Type,Investment 2 Company Invested Into,Investment 2 Announcement Date,Investment 2 Value,Investment 2 Type,Investment 1 Funding Round Type,Investment 1 Round Type,Investment 1 Company Invested into,Investment 1 Announcement Date,Investment 1 Value,Investment 1 Type,Full Description,Normalize a Domain,Growth Score,Clearbit Logo URL
Tacoma Venture Fund,Tacoma,"Tacoma Venture Fund invests in early-stage companies with scalable innovations, disruptive ideas, strong leadership, and community impact.",Tacoma Venture Fund - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/tacoma-venture-fund,Seed Round - Osyte,funding_round,Osyte,2024-11-14,TV investment in Seed Round - Osyte,investment,Pre Seed Round - Dopl Technologies,funding_round,Dopl Technologies,2024-12-20,TV investment in Pre Seed Round - Dopl Technologies,investment,Series A - Impact Laboratories,funding_round,Impact Laboratories,2025-02-25,TV investment in Series A - Impact Laboratories,investment,TVF is an early-stage data-driven venture capital firm focussed on the Pacific Northwest. We back exceptional founders from all backgrounds and the companies they build from seed to scale.,tvf.co,74,https://logo.clearbit.com/tvf.co
Galaxy Venture Capital,Santa Barbara,Galaxy Venture Capital (GVC) provides startups and early stage companies with the collaborative elevation capital and entity-wide infrastructure support.,Galaxy Venture Capital - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/galaxy-venture-capital,Series A - Superstate,funding_round,Superstate,2023-11-15,Galaxy Venture Capital investment in Series A - Superstate,investment,Seed Round - Agora,funding_round,Agora,2024-04-02,Galaxy Venture Capital investment in Seed Round - Agora,investment,Series A - Monad,funding_round,Monad,2024-04-09,Galaxy Venture Capital investment in Series A - Monad,investment,"ELEVATION CAPITAL:
​
Galaxy Venture Capital (GVC) provides startups and early stage companies with the collaborative elevation capital and entity-wide infrastructure support needed to garner true scalable enterprise value.

GVC invests in proof-of-concept and market-validated products and takes a hands-on approach with its investments. GVC Partners have salient expertise in global consumer packaged goods (CPG), internet, eCommerce, mobile, biotech, media and entertainment. GVC leverages its synergistic global networks, seasoned venture partners, investors and entrepreneurs to form a consortium of market experts and players.

GVC launched Galaxy I, LP as an investment vehicle to allow clients the opportunity to invest in some of the best early stage U.S. companies. Galaxy I is a designed to target 30-50 Early growth companies with an initial investment ranging from $500K - $2MM over the 5 year investment period.",galaxyventurecapital.com,39,https://logo.clearbit.com/galaxyventurecapital.com
NKM Capital,New York,NKM Capital is a thesis-driven early stage venture capital firm. NKM Capital invests in extraordinary entrepreneurs who are building revolutionary technologies.,NKM Capital - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/nkm-capital,Seed Round - Redbird,funding_round,Redbird,2022-10-12,NKM Capital investment in Seed Round - Redbird,investment,Seed Round - Pippin Title,funding_round,Pippin Title,2023-11-15,NKM Capital investment in Seed Round - Pippin Title,investment,Seed Round - BlueQubit,funding_round,BlueQubit,2024-12-11,NKM Capital investment in Seed Round - BlueQubit,investment,NKM Capital is a thesis-driven early stage venture capital firm. NKM Capital invests in extraordinary entrepreneurs who are building revolutionary technologies to solve the world's most difficult problems.,nkmcap.com,40,https://logo.clearbit.com/nkmcap.com
Pax Momentum,Maryland,"Pax Momentum offers a profit-driven approach to launching innovative technology companies. Maryland, Louisiana, United States · 11-50; Accelerator, Venture ...",Pax Momentum - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/pax-momentum,Seed Round - Wellthi,funding_round,Wellthi,2023-12-15,Pax Momentum investment in Seed Round - Wellthi,investment,Seed Round - Gentian Limited,funding_round,Gentian Limited,2023-12-15,Pax Momentum investment in Seed Round - Gentian Limited,investment,Seed Round - Pull Logic,funding_round,Pull Logic,2024-06-14,Pax Momentum investment in Seed Round - Pull Logic,investment,Pax Momentum offers a profit-driven approach to launching innovative technology companies.,paxmv.com,30,https://logo.clearbit.com/paxmv.com
Tagus Capital,London,"Tagus Capital is a UK FCA regulated digital asset venture capital firm. London, England, United Kingdom 1-10 Venture Capital Early Stage Venture, Late Stage ...",Tagus Capital - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/tagus-capital,,,,,,,,,,,,,,,,,,,,,41,
RElab,London,Ravelin is a smart fraud detection and prevention platform that helps companies stop online payment fraud by examining customer behavior data and spotting ...,Ravelin - Crunchbase Company Profile & Funding,https://www.crunchbase.com/organization/ravelin,,,,,,,,,,,,,,,,,,,,,78,
Sica Ventures,Columbus,"Sica Ventures provides capital for innovative tech startups in the Space, Aerospace & Defense sectors. USA based and focused. Columbus, Ohio, United States ...",Sica Ventures - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/sica-ventures-llc,,,,,,,,,,,,,,,,,,,,,5,
Eden Rock Group,Mayfair,"Eden Rock Group specializes in the fields of alternative investment advisory, private equity secondaries, and hedge fund secondaries. Mayfair, Westminster, ...",Eden Rock Group - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/eden-rock-group,Series A - Factorial Energy,funding_round,Factorial Energy,2021-04-20,Eden Rock Group investment in Series A - Factorial Energy,investment,Venture Round - Advanced Bacterial Sciences,funding_round,Advanced Bacterial Sciences,2023-01-01,Eden Rock Group investment in Venture Round - Advanced Bacterial Sciences,investment,Series A - Optalysys,funding_round,Optalysys,2023-07-17,Eden Rock Group investment in Series A - Optalysys,investment,"Eden Rock Group specializes in the fields of alternative investment advisory, private equity secondaries, and hedge fund secondaries. It focuses on extensive investment and operational experience across a range of sectors and businesses.",edenrockgroup.com,7,https://logo.clearbit.com/edenrockgroup.com
Villhard Growth Partners,St Louis,Phone Number (314) 802-6225. Villhard Growth Partners (VGP) is a St. Louis-based private equity firm that invests in Midwest-based businesses. Our venture ...,Villhard Growth Partners - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/villhard-growth-partners,,,,,,,,,,,,,,,,,,,,,7,
MEIF Maven Debt Finance,Glasgow,"MEIF Maven Debt Finance focuses on debt financing in construction, jewelry, and food and beverage industries, with investments in Australia and the United ...",MEIF Maven Debt Finance - Crunchbase,https://www.crunchbase.com/organization/meif-maven-debt-finance,Debt Financing - Hex Energy,funding_round,Hex Energy,2023-05-11,MEIF Maven Debt Finance investment in Debt Financing - Hex Energy,investment,Debt Financing - SJD Associates,funding_round,SJD Associates,2023-06-26,MEIF Maven Debt Finance investment in Debt Financing - SJD Associates,investment,Debt Financing - Lemon and Lime Interiors,funding_round,Lemon and Lime Interiors,2024-02-26,MEIF Maven Debt Finance investment in Debt Financing - Lemon and Lime Interiors,investment,MEIF Maven Debt Finance is a investment firm.,mavencp.com/sme-finance/midlands-engine-investment-fund,19,https://logo.clearbit.com/mavencp.com
Tenacity Venture Capital,Palo Alto,"Tenacity Venture Capital operates as an early-stage venture capital firm ... Palo Alto, California, United States · 11-50; Venture Capital; Seed; 83,977 ...",Tenacity Venture Capital - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/tenacity-venture-capital,Seed Round - Fynn,funding_round,Fynn,2023-03-07,Tenacity Venture Capital investment in Seed Round - Fynn,investment,Seed Round - Fanki,funding_round,Fanki,2023-06-06,Tenacity Venture Capital investment in Seed Round - Fanki,investment,Seed Round - MIDAS Technologies,funding_round,MIDAS Technologies,2023-08-01,Tenacity Venture Capital investment in Seed Round - MIDAS Technologies,investment,Tenacity Venture Capital operates as an early-stage venture capital firm.,,5,
OpenAI,San Francisco,"OpenAI creates artificial intelligence technologies to assist with tasks and provide support for human activities. San Francisco, California, United States ...",OpenAI - Crunchbase Company Profile & Funding,https://www.crunchbase.com/organization/openai,Seed Round - Chai Discovery,funding_round,Chai Discovery,2024-09-09,OpenAI investment in Seed Round - Chai Discovery,investment,Series A - Physical Intelligence,funding_round,Physical Intelligence,2024-11-04,OpenAI investment in Series A - Physical Intelligence,investment,Corporate Round - The Stargate Project,funding_round,The Stargate Project,2025-01-21,OpenAI investment in Corporate Round - The Stargate Project,investment,"OpenAI is an AI research and deployment company that conducts research and develops machine learning technologies. OpenAI works on projects that involve autonomous learning and task performance. It serves industries such as technology, healthcare, and education.",openai.com,100,https://logo.clearbit.com/openai.com
Dangerous Ventures,Los Angeles,"Dangerous Ventures is a venture capital firm that invests in early-stage startups building resilience for people and planet. Los Angeles, California, United ...",Dangerous Ventures - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/dangerous-ventures,Series A - Cambium Carbon,funding_round,Cambium Carbon,2025-02-24,Dangerous Ventures investment in Series A - Cambium Carbon,investment,Seed Round - Verdi Expeditions,funding_round,Verdi Expeditions,2025-05-15,Dangerous Ventures investment in Seed Round - Verdi Expeditions,investment,Seed Round - Verdi,funding_round,Verdi,2025-05-15,Dangerous Ventures investment in Seed Round - Verdi,investment,"Dangerous Ventures is a venture capital firm that invests in early-stage startups focussed on adaptation and resilience solutions to empower people, the planet, and society to thrive in an ever-changing environment. DV was founded in 2022 and is based in LA, SF and Santa Fe, NM.",dangerous.co,80,https://logo.clearbit.com/dangerous.co
White Oak Global Advisors,San Francisco,"White Oak Global Advisors, an investment advisor, serves middle-market companies through direct lending programs and other initiatives.",White Oak Global Advisors - Crunchbase,https://www.crunchbase.com/organization/white-oak-global-advisors,Debt Financing - Trecora Resources,funding_round,Trecora Resources,2022-07-21,White Oak Global Advisors investment in Debt Financing - Trecora Resources,investment,Post-IPO Debt - Alliance Entertainment,funding_round,Alliance Entertainment,2023-12-21,White Oak Global Advisors investment in Post-IPO Debt - Alliance Entertainment,investment,Debt Financing - Watermark Capital Group,funding_round,Watermark Capital Group,2024-12-10,White Oak Global Advisors investment in Debt Financing - Watermark Capital Group,investment,"White Oak Global Advisors, an investment advisor, serves middle-market companies through direct lending programs and other initiatives.",whiteoaksf.com,42,https://logo.clearbit.com/whiteoaksf.com
Rackhouse Venture Capital,Menlo Park,Rackhouse Venture Capital may be growing as it has led a seed fundraising round for an AI supply chain solution for the cannabis industry.,Rackhouse Venture Capital - Crunchbase,https://www.crunchbase.com/organization/rackhouse-venture-capital,Seed Round - Prelude,funding_round,Prelude,2023-11-28,Rackhouse Venture Capital investment in Seed Round - Prelude,investment,Series A - Fathom,funding_round,Fathom,2024-09-19,Rackhouse Venture Capital investment in Series A - Fathom,investment,Pre Seed Round - Crosshatch,funding_round,Crosshatch,2024-09-24,Rackhouse Venture Capital investment in Pre Seed Round - Crosshatch,investment,"We’re an early-stage venture capital fund that backs data founders, regardless of sector or geography.",rackhouse.vc,73,https://logo.clearbit.com/rackhouse.vc
GFT Ventures,Palo Alto,GFT Ventures is an early-stage frontier technology-focused VC firm investing primarily in the US and Israel. We invest in category-leading startups.,GFT Ventures - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/gft-ventures,Seed Round - Daash Intelligence,funding_round,Daash Intelligence,2024-10-18,GFT Ventures investment in Seed Round - Daash Intelligence,investment,Series B - Bria,funding_round,Bria,2025-03-13,GFT Ventures investment in Series B - Bria,investment,Seed Round - Anyware Robotics,funding_round,Anyware Robotics,2025-03-13,GFT Ventures investment in Seed Round - Anyware Robotics,investment,"GFT Ventures is an early-stage frontier technology-focused VC firm investing primarily in the US and Israel. We invest in category-leading startups developing disruptive technologies that solve the world's hardest problems. We add value to our portfolio companies by relying on our extensive experience, track record, and our global relationships with early adopter partners and customers.",gft.vc,42,https://logo.clearbit.com/gft.vc
WhiteHawk Capital Partners,Los Angeles,"WhiteHawk Capital Partners is a private credit investment manager focused on asset-based financing solutions. Los Angeles, California, United States · 11-50 ...",WhiteHawk Capital Partners - Crunchbase,https://www.crunchbase.com/organization/whitehawk-capital-partners,,,,,,,,,,,,,,,,,,,,,73,
Expanding Capital,San Francisco,"Expanding Capital invests in late-stage FinTech, Software, and Big Data companies, focusing on the Software, Data and Analytics, and Financial Services sectors.",Expanding Capital - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/expanding-capital,Series E - Roofstock,funding_round,Roofstock,2022-03-10,Expanding Capital investment in Series E - Roofstock,investment,Series B - JOBOX.ai,funding_round,JOBOX.ai,2022-04-12,Expanding Capital investment in Series B - JOBOX.ai,investment,Series C - Postscript,funding_round,Postscript,2022-06-15,Expanding Capital investment in Series C - Postscript,investment,"Expanding Capital is a venture capital firm focused on fast-growing US companies where can assist them in unlocking their full potential and developing new markets. It is based in San Francisco, California, USA.",xcap.vc,34,https://logo.clearbit.com/xcap.vc
TT Capital Partners,Bloomington,"TT Capital Partners is an independent merchant bank that focuses on mergers and acquisitions and financial restructuring. Bloomington, Minnesota, United States ...",TT Capital Partners - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/tt-capital-partners,Series A - InHomeTherapy,funding_round,InHomeTherapy,2022-09-28,TT Capital Partners investment in Series A - InHomeTherapy,investment,Private Equity Round - Pyx Health,funding_round,Pyx Health,2023-07-20,TT Capital Partners investment in Private Equity Round - Pyx Health,investment,Private Equity Round - Pyx Health,funding_round,Pyx Health,2025-06-03,TT Capital Partners investment in Private Equity Round - Pyx Health,investment,"TT Capital Partners is an independent merchant bank focused on mergers and acquisitions, financial restructuring, and principal investing services. The firm specializes in the fields of merchant banking, M and A advisory, principal investing, investment banking, and strategic advisory.

It is the private equity arm of Triple Tree founded in 1997",ttcapitalpartners.com,42,https://logo.clearbit.com/ttcapitalpartners.com
Dream Ventures,Las Vegas,Dream Ventures is an early-stage venture capital firm focused on building high-growth and disruptive companies. Founded by Richard Blankenship in 2022.,Dream Ventures - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/dream-ventures,Seed Round - Boomerang,funding_round,Boomerang,2024-01-25,Dream Ventures investment in Seed Round - Boomerang,investment,Series A - FUZE Technology,funding_round,FUZE Technology,2024-06-13,Dream Ventures investment in Series A - FUZE Technology,investment,Seed Round - Coologics,funding_round,Coologics,2025-04-23,Dream Ventures investment in Seed Round - Coologics,investment,"Dream Ventures is an early-stage venture capital firm focused on building high-growth and disruptive companies. 

Founded by Richard Blankenship in 2022.",dreamventures.com,74,https://logo.clearbit.com/dreamventures.com
StartUp PHL,Philadelphia,StartUp PHL is a collaborative effort between the City of Philadelphia Department of Commerce and the Philadelphia Industrial Development Corporation—a ...,StartUp PHL - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/startup-phl,Seed Round - MBF Therapeutics,funding_round,MBF Therapeutics,2018-05-16,StartUp PHL investment in Seed Round - MBF Therapeutics,investment,Seed Round - Surprise HR,funding_round,Surprise HR,2018-05-16,StartUp PHL investment in Seed Round - Surprise HR,investment,Seed Round - Houwzer,funding_round,Houwzer,2019-01-06,StartUp PHL investment in Seed Round - Houwzer,investment,StartUp PHL is a collaborative effort between the City of Philadelphia Department of Commerce and the Philadelphia Industrial Development Corporation—a forward thinking initiative inspired by the infusion of entrepreneurial talent that has boosted the city’s energy and brought new vitality to its neighborhoods.,startupphl.com,23,https://logo.clearbit.com/startupphl.com
Decasonic,Chicago,"Decasonic is the venture and digital assets fund building blockchain innovation. Chicago, Illinois, United States 1-10 Venture Capital Early Stage Venture, Seed",Decasonic - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/decasonic,Pre Seed Round - Anomaly,funding_round,Anomaly,2024-04-30,Decasonic investment in Pre Seed Round - Anomaly,investment,Pre Seed Round - assisterr,funding_round,assisterr,2024-07-23,Decasonic investment in Pre Seed Round - assisterr,investment,Seed Round - Cohuman Labs,funding_round,Cohuman Labs,2024-11-01,Decasonic investment in Seed Round - Cohuman Labs,investment,Decasonic is the venture and digital assets fund building blockchain innovation.,decasonic.com,41,https://logo.clearbit.com/decasonic.com
Born Capital,Palo Alto,"Born Capital is a venture capital firm investing in emerging technology (like AI, RPA, Cloud & Big Data) to empower the CFO #CFOTech. Palo Alto, California, ...",Born Capital - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/born-capital-partners,Series A - Puzzle Financial,funding_round,Puzzle Financial,2023-11-15,Born Capital investment in Series A - Puzzle Financial,investment,Seed Round - Dost,funding_round,Dost,2024-09-12,Born Capital investment in Seed Round - Dost,investment,Seed Round - Pluto,funding_round,Pluto,2025-01-23,Born Capital investment in Seed Round - Pluto,investment,"We believe innovative startups in CFOTech are pioneering the single biggest driver of business value this decade. The partners of Born Capital are seasoned CFOTech veterans with the expertise, network, and business savvy to give the startups we invest in the unfair advantage. It is the key that unlocks their potential to become CFOTech industry leaders.",borncapital.vc,31,https://logo.clearbit.com/borncapital.vc
Ritual Capital,San Francisco,"Ritual Capital invests in seed to early-stage companies in the biopharma, biotechnology, and automotive industries, focusing on science and engineering, ...",Ritual Capital - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/ritual-capital,Seed Round - Final Round AI,funding_round,Final Round AI,2025-01-30,Ritual Capital investment in Seed Round - Final Round AI,investment,Pre Seed Round - Sotira,funding_round,Sotira,2025-02-04,Ritual Capital investment in Pre Seed Round - Sotira,investment,Series A - Outset,funding_round,Outset,2025-06-11,Ritual Capital investment in Series A - Outset,investment,Ritual Capital is a seed-stage venture fund that invests in creators creating iconic brands.,ritualcapital.com,88,https://logo.clearbit.com/ritualcapital.com
J.A.S Ventures,New York,"J.A.S Ventures invests in seed to late-stage companies, focusing on software, financial services, and SaaS industries, with a geographical focus on major ...",J.A.S Ventures - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/j-a-s-ventures-e85e,Seed Round - Valarian Technologies,funding_round,Valarian Technologies,2022-10-24,J.A.S Ventures investment in Seed Round - Valarian Technologies,investment,Series A - Terzo,funding_round,Terzo,2022-11-16,J.A.S Ventures investment in Series A - Terzo,investment,Series A - Armada,funding_round,Armada,2023-12-11,J.A.S Ventures investment in Series A - Armada,investment,Family office from Abu Dhabi,jas.ventures,20,https://logo.clearbit.com/jas.ventures
A-Level Capital,Baltimore,"A-Level Capital, LLC is a student-led venture capital fund based in Baltimore, Maryland. Our firm invests in Johns Hopkins University student and young alumni ...",A-Level Capital - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/a-level-capital,Seed Round - Siren Care,funding_round,Siren Care,2017-03-01,A-Level Capital investment in Seed Round - Siren Care,investment,Seed Round - Order,funding_round,Order,2018-08-01,A-Level Capital investment in Seed Round - Order,investment,Seed Round - Leap AI,funding_round,Leap AI,2024-01-09,A-Level Capital investment in Seed Round - Leap AI,investment,"A-Level Capital, LLC is a student-led venture capital fund based in Baltimore, Maryland. Our firm invests in Johns Hopkins University student and young alumni founded companies. Please visit our website, alevelcapital.com to learn more and/or apply for start-up funding.",alevelcapital.com,14,https://logo.clearbit.com/alevelcapital.com
Thirdbase Capital,New York,"Thirdbase Capital provides growth stage capital to exciting startups that are accelerating positive change in this world. New York, New York, United States ...",Thirdbase Capital - Crunchbase Investor Profile & Investments,https://www.crunchbase.com/organization/thirdbase-capital,Venture Round - Pipe,funding_round,Pipe,2022-07-04,Thirdbase Capital investment in Venture Round - Pipe,investment,Series A - Rightfoot,funding_round,Rightfoot,2022-09-10,Thirdbase Capital investment in Series A - Rightfoot,investment,Seed Round - Venn (formerly Vault),funding_round,Venn (formerly Vault),2023-05-15,Thirdbase Capital investment in Seed Round - Venn (formerly Vault),investment,"Our mission is to utilize our time, reputation and capital to support entrepreneurs, advocate for their big ideas and guide companies to the highest level of success. We pride ourselves on the strength of our collective network, our ability to identify the right companies at the right time, and our commitment to partnership. We seek to invest $5 million to $20 million in growth stage rounds in the companies we believe in.",thirdbasecap.com,6,https://logo.clearbit.com/thirdbasecap.com
